class,class_scope,canonical_id,canonical_name,source_type,alias_count,rows_matched,target_rows,target_precision_pct,mentions_total,source_origin
Soy,big9,soy__soy_protein,Soy protein,workbook_existing,10,28574,19602,68.60,65632,Allergen-Ingredient Map:132
Soy,big9,soy__soy_sauce,Soy sauce,workbook_existing,1,4014,2792,69.56,4676,Allergen-Ingredient Map:133
Soy,big9,soy__textured_vegetable_protein,Textured vegetable protein,workbook_existing,3,2845,2565,90.16,2960,Allergen-Ingredient Map:138
Soy,big9,soy__textured_soy_flour,Textured soy flour,workbook_existing,3,1737,1578,90.85,1741,Allergen-Ingredient Map:138
Soy,big9,soy__defatted_soy_flour,Defatted Soy Flour,manual_seed,2,868,758,87.33,868,manual_seed
Soy,big9,soy__expeller_pressed,expeller pressed),workbook_existing,1,1557,745,47.85,1704,Allergen-Ingredient Map:135
Soy,big9,soy__soybean_lecithin,Soybean Lecithin,manual_seed,1,495,365,73.74,519,manual_seed
Soy,big9,soy__edamame,Edamame,workbook_existing,2,327,253,77.37,351,Allergen-Ingredient Map:125
Soy,big9,soy__miso,Miso,workbook_existing,2,261,190,72.80,285,Allergen-Ingredient Map:126
Soy,big9,soy__tamari,Tamari,workbook_existing,2,303,140,46.20,311,Allergen-Ingredient Map:136
Soy,big9,soy__tofu,Tofu,workbook_existing,4,172,125,72.67,185,Allergen-Ingredient Map:139
Soy,big9,soy__soy_isolate,Soy Isolate,manual_seed,2,10,10,100.00,10,manual_seed
Soy,big9,soy__bean_curd,Bean curd,workbook_existing,1,1,1,100.00,1,Allergen-Ingredient Map:124
Soy,big9,soy__tempeh,Tempeh,workbook_existing,2,6,0,0.00,6,Allergen-Ingredient Map:137
Soy,big9,soy__natto,Natto,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:127
Soy,big9,soy__shoyu_sauce,Shoyu sauce,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:128
Soy,big9,soy__soya,Soya,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:134
