class,class_scope,canonical_id,alias,alias_norm,source_type,source_status,effective_status,active,rows_matched,target_rows,other_labeled_rows,target_precision_pct,target_exclusivity_pct,mentions_total,source_origin,decision_reason
Milk,big9,milk__lactoferrin,lactoferrins,lactoferrins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:36,
Milk,big9,milk__lactoglobulin,Lactoglobulin,lactoglobulin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:15,
Milk,big9,milk__lactoglobulin,lactoglobulins,lactoglobulins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:35,
Milk,big9,milk__lactose,lactoses,lactoses,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:38,
Milk,big9,milk__lactulose,Lactulose,lactulose,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:16,
Milk,big9,milk__lactulose,lactuloses,lactuloses,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:37,
Milk,big9,milk__milk,malteds,malteds,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:52,
Milk,big9,milk__milk,Milk goat's,milk goat s,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:17,
Milk,big9,milk__milk_protein_hydrolysate,Milk protein hydrolysate,milk protein hydrolysate,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:18,
Milk,big9,milk__milk,milkfats,milkfats,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:58,
Milk,big9,milk__milk,nonfats,nonfats,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:59,
Milk,big9,milk__nougat,nougats,nougats,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:65,
Milk,big9,milk__caseinate_salts,Potassium Caseinate,potassium caseinate,manual_seed,approved,approved,yes,0,0,0,0.00,0.00,0,manual_seed,
Milk,big9,milk__pudding,puddings,puddings,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:66,
Milk,big9,milk__recaldenttm,RecaldentTM,recaldenttm,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:21,
Milk,big9,milk__recaldenttm,recaldenttms,recaldenttms,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:67,
Milk,big9,milk__rennet,rennets,rennets,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:68,
Milk,big9,milk__simpless,simples,simples,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:70,
Milk,big9,milk__simpless,Simpless,simpless,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:23,
Milk,big9,milk__milk,skimmeds,skimmeds,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:51,
Milk,big9,milk__sour_milk_solids,Sour milk solids,sour milk solids,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:24,
Milk,big9,milk__tagatose,tagatoses,tagatoses,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:72,
Milk,big9,milk__whey,Whey hydrolysate,whey hydrolysate,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:26,
Milk,big9,milk__whey,Whey isolate,whey isolate,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:26,
Milk,big9,milk__hydrolysates,wheys,wheys,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:31,
Milk,big9,milk__whey_protein_hydrolysate,WPH,wph,manual_seed,approved,approved,yes,0,0,0,0.00,0.00,0,manual_seed,
Milk,big9,milk__yogurt,yogurts,yogurts,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:78,
Egg,big9,egg__egg,whites,whites,rule_variant,generated,generated,yes,7676,2568,5108,33.45,33.45,7825,rule_from_alias:97,
Egg,big9,egg__mayonnaise,Mayonnaise,mayonnaise,workbook_existing,approved,approved,yes,2153,817,1336,37.95,37.95,2207,Allergen-Ingredient Map:41,
Egg,big9,egg__egg_noodles,Egg noodles,egg noodles,workbook_existing,approved,approved,yes,1467,703,764,47.92,47.92,1467,Allergen-Ingredient Map:33,
Egg,big9,egg__dried_egg,Dried egg,dried egg,workbook_existing,approved,approved,yes,823,365,458,44.35,44.35,879,Allergen-Ingredient Map:31,
Egg,big9,egg__surimi,Surimi,surimi,workbook_existing,approved,approved,yes,377,280,97,74.27,74.27,379,Allergen-Ingredient Map:48,
Egg,big9,egg__egg_powder,Egg Powder,egg powder,manual_seed,approved,approved,yes,65,48,17,73.85,73.85,89,manual_seed,
Egg,big9,egg__lysozyme,Lysozyme,lysozyme,workbook_existing,approved,approved,yes,82,39,43,47.56,47.56,82,Allergen-Ingredient Map:40,
Egg,big9,egg__egg_powder,Whole Egg Powder,whole egg powder,manual_seed,approved,approved,yes,50,33,17,66.00,66.00,50,manual_seed,
Egg,big9,egg__egg_powder,Dried Whole Egg,dried whole egg,manual_seed,approved,approved,yes,56,30,26,53.57,53.57,61,manual_seed,
Egg,big9,egg__egg,Egg solids,egg solids,workbook_parenthetical,approved,approved,yes,59,19,40,32.20,32.20,59,Allergen-Ingredient Map:32,
Egg,big9,egg__liquid_egg,Liquid Whole Egg,liquid whole egg,manual_seed,approved,approved,yes,117,18,99,15.38,15.38,135,manual_seed,
Egg,big9,egg__liquid_egg,Liquid Egg,liquid egg,manual_seed,approved,approved,yes,72,13,59,18.06,18.06,72,manual_seed,
Egg,big9,egg__liquid_egg,Pasteurized Egg,pasteurized egg,manual_seed,approved,approved,yes,60,13,47,21.67,21.67,60,manual_seed,
Egg,big9,egg__egg,Egg dried,egg dried,workbook_parenthetical,approved,approved,yes,12,12,0,100.00,100.00,12,Allergen-Ingredient Map:32,
Egg,big9,egg__albumen,Albumen,albumen,workbook_existing,approved,approved,yes,82,10,72,12.20,12.20,82,Allergen-Ingredient Map:28,
Egg,big9,egg__egg,lecithins,lecithins,rule_variant,generated,generated,yes,23,8,15,34.78,34.78,30,rule_from_alias:92,
Egg,big9,egg__aioli,Aioli,aioli,workbook_existing,approved,approved,yes,8,5,3,62.50,62.50,8,Allergen-Ingredient Map:41,
Egg,big9,egg__egg_wash,Egg wash,egg wash,workbook_existing,approved,approved,yes,8,3,5,37.50,37.50,8,Allergen-Ingredient Map:36,
Egg,big9,egg__egg,solid,solid,rule_variant,generated,generated,yes,71,1,70,1.41,1.41,71,rule_from_alias:93,
Egg,big9,egg__albumin,Albumin,albumin,workbook_existing,approved,approved,yes,12,0,12,0.00,0.00,12,Allergen-Ingredient Map:28,
Egg,big9,egg__eggnog,Eggnog,eggnog,workbook_existing,approved,approved,yes,8,0,8,0.00,0.00,8,Allergen-Ingredient Map:35,
Egg,big9,egg__meringue,Meringue,meringue,workbook_existing,approved,approved,yes,1,0,1,0.00,0.00,1,Allergen-Ingredient Map:42,
Egg,big9,egg__aioli,aiolis,aiolis,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:109,
Egg,big9,egg__albumen,albumens,albumens,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:80,
Egg,big9,egg__albumin,albumins,albumins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:79,
Egg,big9,egg__apovitellin,Apovitellin,apovitellin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:29,
Egg,big9,egg__apovitellin,apovitellins,apovitellins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:81,
Egg,big9,egg__cholesterol_free_egg_substitute,Cholesterol-free egg substitute,cholesterol free egg substitute,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:30,
Egg,big9,egg__egg,dried,dried,workbook_parenthetical,approved,demoted_auto,no,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:32,"Auto-demoted: support 12993, precision 0.165, exclusivity 0.165."
Egg,big9,egg__dried_egg_solids,Dried egg solids,dried egg solids,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:31,
Egg,big9,egg__egg,drieds,drieds,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:94,
Egg,big9,egg__egg,Egg,egg,workbook_existing,approved,demoted_auto,no,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:32,"Auto-demoted: support 19643, precision 0.284, exclusivity 0.284."
Egg,big9,egg__egg,Egg lecithin,egg lecithin,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:32,
Egg,big9,egg__egg,Egg powdered,egg powdered,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:32,
Egg,big9,egg__egg_substitutes,Egg substitutes,egg substitutes,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:34,
Egg,big9,egg__egg,Egg white,egg white,workbook_parenthetical,approved,demoted_auto,no,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:32,"Auto-demoted: support 2254, precision 0.270, exclusivity 0.270."
